eval_id,x,order,f1,f2,f3,g1,g2,feasible
61,"[0.845404285760537, 0.8204285611325308, 0.12641280386696618, 0.4365993284265257, 0.7380407096624092, 0.7407823181954581, 0.9666033189341902, 0.6028584686740694, 0.5614806584031321, 0.51264077114894]","[5, 2, 4, 1, 3, [1.0161054434167833, 1.3827740785408693]]",-30.488365,0.631,5185.675061517136,-126.65947331149653,1,0
62,"[0.6960604847725803, 0.9051199789066251, 0.40038889547426715, 0.01758363383235584, 0.545627861868539, 0.5985384266345533, 0.34166478133560707, 0.9624589192121252, 0.9739297683580683, 0.9012953493257131]","[4, 3, 5, 2, 1, [1.171993093520008, 1.1728750935589511]]",-34.320415,1.0,4513.8517181533325,-10.651241807126098,0,1
63,"[0.2420773342567868, 0.6980711168315432, 0.27776680661495434, 0.37367232011451723, 0.8621116896967723, 0.9747387518123739, 0.6635965911561362, 0.8839002340286792, 0.9142542841944686, 0.9912652956876957]","[3, 4, 2, 5, 1, [1.2224092388383472, 1.1149637953430989]]",-18.700567,0.204,4116.181188722702,89.33824935877459,1,0
64,"[0.3799122820383145, 0.7219160113129628, 0.8248386856036697, 0.4745953261267585, 0.3067129455970127, 0.7141928324307322, 0.1566468816974207, 0.030597598185445052, 0.35191114366513887, 0.4585601150333972]","[2, 4, 1, 5, 3, [1.0287465249011254, 1.2197468316243552]]",-33.71046,0.107,4556.5845559097015,-19.216237682255382,1,0
65,"[0.8806609877087255, 0.5730009427819026, 0.1589319925342645, 0.689682696612831, 0.5806183144539226, 0.7700411596057801, 0.5377560497140078, 0.5721374527613311, 0.6507910372213029, 0.16285530373487533]","[2, 1, 3, 4, 5, [1.2172500992103452, 1.104204724550436]]",-36.690765,0.464,5047.038645215952,-18.755179747689567,3,0
66,"[0.6157588855766006, 0.36232581148109577, 0.03499207154838191, 0.9932129792167356, 0.614710664202153, 0.6752237596709202, 0.41630459281305965, 0.06662559032454429, 0.9376587940711598, 0.9442124006149235]","[5, 2, 1, 4, 3, [1.09036048109589, 1.023876257881875]]",-48.246773,1.0,5307.259776770626,-196.31332239242653,1,0
67,"[0.0784793822726475, 0.7053135340302209, 0.8508052967497757, 0.45231010861889465, 0.7487202851767202, 0.5166430117347091, 0.7873279895833548, 0.895259668450428, 0.2001832534096053, 0.11236806236210761]","[2, 1, 4, 5, 3, [1.1440531181504106, 1.218338518368498]]",-47.214203,0.978,4810.3995690706815,-49.92182571534562,2,0
68,"[0.9729064750315112, 0.9871503117965211, 0.2450891512071508, 0.4287035187898721, 0.40072870678163297, 0.6624872176682474, 0.8731695001758973, 0.20617626406064682, 0.8986842290557175, 0.9313316576341469]","[5, 2, 1, 3, 4, [1.4623415841615155, 1.2932678532754711]]",-35.938873,0.199,5829.185992643271,180.34481233460212,1,0
69,"[0.913580363844749, 0.48566501417614727, 0.25351301320584985, 0.026125180065326048, 0.4091980327236412, 0.4150337846178629, 0.7045995993336086, 0.19987739236319046, 0.7285822675898068, 0.4215436509370588]","[4, 1, 3, 5, 2, [1.1058595763410066, 1.4572536089814223]]",-43.972782,1.0,5836.862539670328,-199.45532578484335,1,0
70,"[0.69183799598008, 0.39306544872370497, 0.876994200054285, 0.207566573091565, 0.6773449691961019, 0.7788294365847748, 0.3720412188553137, 0.3357265198241911, 0.3557221761276135, 0.396451677226335]","[3, 1, 2, 5, 4, [1.2969583631183266, 1.0035288359965073]]",-31.108595,0.28,4217.785898072642,-58.355756873927874,2,0
71,"[0.3470134464319322, 0.8194271102512672, 0.6019943042411047, 0.3776118200503673, 0.022621545185251724, 0.5234924590978557, 0.9270771181964038, 0.9131543856651232, 0.9969905687227181, 0.34826361250540105]","[5, 1, 2, 3, 4, [1.480452235387073, 1.4632610791524114]]",-44.562073,1.0,5471.250259360414,-111.12653976719037,0,1
72,"[0.5046351370880443, 0.8646824925532758, 0.0728556073277179, 0.0987906281121338, 0.9442559818118762, 0.6188463099230473, 0.49733977381422, 0.9915009561847973, 0.7015760075429713, 0.9829069549195014]","[4, 1, 2, 5, 3, [1.1472587873327362, 1.1802462179922872]]",-35.870197,1.0,5517.01464726083,-233.13287576848307,0,1
73,"[0.76323365459893, 0.5302815461994053, 0.46187587881653225, 0.5040313521414549, 0.38098995196112617, 0.7901581207887902, 0.3773171304225251, 0.6681733870278236, 0.35530605791377345, 0.4610173802996229]","[2, 4, 1, 3, 5, [1.317512085732318, 1.4482473637942868]]",-23.280825,0.053,4028.5299152332877,194.90513425537307,1,0
74,"[0.5092803984766597, 0.14460339788936238, 0.7594069240207924, 0.07812886761497251, 0.2276684779699346, 0.3262627951196201, 0.6825356622580909, 0.1451533182008673, 0.9362033686939466, 0.9840540301955678]","[1, 3, 4, 5, 2, [1.2192884911502693, 1.43311741769706]]",-32.784466,0.981,5229.211370620309,-9.67880989925402,1,0
75,"[0.7660872942202898, 0.31525627786474575, 0.9785373489558111, 0.5588860680462967, 0.5327582425596321, 0.656676971847874, 0.6070416521528729, 0.34246276777560036, 0.346114033539778, 0.241036743578526]","[1, 5, 2, 4, 3, [1.017476572634002, 1.299621077101502]]",-28.615112,0.1,3948.967832355873,71.54020412789683,1,0
76,"[0.44766400434396325, 0.7670055472170414, 0.23411266616427517, 0.7090355683906711, 0.8497686612302764, 0.9742739560569972, 0.6301980918630757, 0.6940472151852376, 0.008977132032983892, 0.1794486201316986]","[2, 4, 5, 3, 1, [1.3978404814707361, 1.2700733849698909]]",-53.84523,0.221,4830.367066977165,-116.42515579846491,1,0
77,"[0.12587656442732054, 0.5692117621865216, 0.09868363079042086, 0.5414156364902679, 0.18535827430254537, 0.9364081716428797, 0.22668117650031905, 0.5534124111830168, 0.8740719772836285, 0.6384786451093197]","[2, 5, 3, 4, 1, [1.2745135608892473, 1.4109181586878545]]",-35.198425,0.811,5049.2902182877815,49.59458307181822,0,0
78,"[0.6924211697780495, 0.28295650957640595, 0.18508094246939377, 0.8982730425061065, 0.9484360941678833, 0.0964570720836142, 0.12635807527505039, 0.04538823238691514, 0.7094758256005392, 0.6093592558382558]","[4, 1, 2, 5, 3, [1.4197225834104488, 1.0089583913473996]]",-30.587568,0.35,5716.478479308704,65.36749939865211,2,0
